Bin Start	Bin End	Count
8.06	8.75	3
8.75	9.45	5
9.45	10.14	7
10.14	10.83	17
10.83	11.52	7
11.52	12.21	17
12.21	12.91	13
12.91	13.60	31
13.60	14.29	44
14.29	14.98	70
14.98	15.67	107
15.67	16.36	93
16.36	17.06	111
17.06	17.75	90
17.75	18.44	105
18.44	19.13	72
19.13	19.82	55
19.82	20.52	83
20.52	21.21	74
21.21	21.90	49
21.90	22.59	51
22.59	23.28	35
23.28	23.97	22
23.97	24.67	27
24.67	25.36	30
25.36	26.05	15
26.05	26.74	10
26.74	27.43	15
27.43	28.13	11
28.13	28.82	8
28.82	29.51	8
29.51	30.20	1
30.20	30.89	3
30.89	31.58	2
31.58	32.28	3
32.28	32.97	3
32.97	33.66	2
33.66	34.35	0
34.35	35.04	2
35.04	35.74	2
