Bin Start	Bin End	Count
7.00	7.59	1
7.59	8.17	0
8.17	8.76	4
8.76	9.35	7
9.35	9.93	10
9.93	10.52	24
10.52	11.11	40
11.11	11.69	69
11.69	12.28	110
12.28	12.87	96
12.87	13.45	204
13.45	14.04	191
14.04	14.63	163
14.63	15.21	171
15.21	15.80	149
15.80	16.39	159
16.39	16.97	93
16.97	17.56	146
17.56	18.14	90
18.14	18.73	55
18.73	19.32	59
19.32	19.90	29
19.90	20.49	40
20.49	21.08	28
21.08	21.66	30
21.66	22.25	12
22.25	22.84	14
22.84	23.42	9
23.42	24.01	1
24.01	24.60	10
24.60	25.18	2
25.18	25.77	4
25.77	26.36	0
26.36	26.94	1
26.94	27.53	3
27.53	28.12	1
28.12	28.70	1
28.70	29.29	0
29.29	29.88	0
29.88	30.46	1
