Bin Start	Bin End	Count
7.81	8.45	4
8.45	9.08	11
9.08	9.72	16
9.72	10.35	52
10.35	10.99	48
10.99	11.62	130
11.62	12.26	207
12.26	12.90	121
12.90	13.53	197
13.53	14.17	169
14.17	14.80	132
14.80	15.44	179
15.44	16.08	107
16.08	16.71	150
16.71	17.35	95
17.35	17.98	77
17.98	18.62	83
18.62	19.25	53
19.25	19.89	47
19.89	20.53	42
20.53	21.16	13
21.16	21.80	20
21.80	22.43	24
22.43	23.07	16
23.07	23.70	11
23.70	24.34	8
24.34	24.98	5
24.98	25.61	6
25.61	26.25	7
26.25	26.88	2
26.88	27.52	5
27.52	28.16	4
28.16	28.79	4
28.79	29.43	1
29.43	30.06	0
30.06	30.70	1
30.70	31.33	0
31.33	31.97	1
31.97	32.61	0
32.61	33.24	2
